A est une partie convexe de E ssi :,"pt (x, y) in A^2, [x, y] in A"
A in P(E) est bornée ssi …,"… ssi e R in R^+, pt a in A ||a|| < R"
Application polynomiale,"f : E —> K
x = sum(i = 1, n)(xi•ei) |—> sum(i = 1, n)(ai • (prod((j = 1, n)(xj^{kj}))"
Conséquence N1 dominé par N2,"- si A borné sur E pour N1 alors A borné sur E pour N2
- si (un) converge vers l pour N1 alors (un) converge vers l pour N2"
Conséquences N1 et N2 equivalentes,"- A borné sur E pour N1 ssi A borné sur E pour N2
- (un) converge vers l pour N1 ssi (un) converge vers l pour N2
- A ouverte pour N1 ssi A ouverte pour N2
- A fermée pour N1 ssi A fermée pour N2"
D in P(E) est dense dans A in P(E) ssi …,… ssi A est inclu dans l’adhérence de D
Definition distance sur E,"d : E^2 —> R^+ tq:
- d soit symétrique
- d soit séparatrice
- pour tout (a, b, c) in E^3 d(a, b) =< d(a, c) + d(c, b)"
Definition du segment,"[x, y] = {(1-t) • x + t • y, t in [0, 1]}"
Definition fermé V de E,Tout point adhérent à V appartient à V
Definition norme sur E,"N: E —> R^+
- homogénéité : pour tout (lambda, x) in KxE, N(lambda • x) = |lambda| • N(x)
- inégalité triangulaire : pour tout (x, y) in E^2, N(x + y) =< N(x) + N(y)
- separation : pour tout x in E, N(x) = 0 <=> x = 0"
Definition ouvert U de E,Tout point de U est interieur à U
Definition sphere,"S(x0, R) = {x in E, d(x0, x) = R}"
"f : E —> F, E, F deux K-e.v. est continue sur E ssi …","… ssi pour tout ouvert U de F f^{-1}(U) est un ouvert
ssi pour tout fermé V de F f^{-1}(V) est un fermé"
"f in F(X, E) est bornée ssi …",… ssi f(X) est bornée
N1 dominé par N2 ssi …,"… ssi e a>0, pt x in E N1(x) =< a • N2(x)

… ssi e a>0, pt x in E N2(x) = 1 => N1(x) =< a"
N1 et N2 equivalentes ssi …,"… ssi e (a, b) in (R^+*)^2, pt x in E a • N1(x) =< N2(x) =< b • N1(x)"
"Norme 1, 2 et infini","Soit E un K-e.v. de dimension n muni d'une base B = (ei)i in [|1, n|]
Soit x = sum(i = 1, n)(xi ei) in E

||x||infini = sup(k in [|1, n|])(|xk|)

||x||1 = sum(k = 1, n)(|xk|)

||x||2 = sqrt(sum(k = 1, n)(|xk|^2))"
"Pour f in L(E, F), f est continue ssi …","… ssi f est continue en 0
ssi f est k-lipschitzienne"
"Soit f in F(E, F) ou E et F sont deux K-e.v.n et E est de dimension finie. Condition nécessaires pour que f soit continue","f in L(E, F)"
"Soit f in F(E, F) ou E et F sont deux K-e.v.n. Condition nécessaires pour que f soit continue",f lipschitzienne
Spécificité d’une distance euclidienne,"pour tout (x, y, z) in E^3 d(x + z, y + z) = d(x, y)
pour tout (x, y) in E^2 pour tout a in K d(a • x, a • y) = |a| • d(x, y)"
sup(k • A) = …,"Si A in P(E) non vide :
… = k • sup(A)"
x est adherent à A ssi …,"… ssi pt r>0 B(x, r) inter A ≠ vide
ssi e (un) in A^N, un —> x
"
x est intérieur a A ssi …,"… ssi e r > 0, B(x, r) in A"
