"(A, +, x) est un anneau ssi …","… ssi :
(A, +) est un groupe abelien
(A, x) est un monoïde
x est distributive sur +

Si x est commutative on dit que l’anneau est commutatif"
"(A, +, x, •) est une K-algebre ssi …","… ssi :
K est un corps
(A, +, x) est un anneau
(A, +, •) est un K-espace vectoriel
• et x sont associative"
"(E, +, •) est un K-espace vectoriel ssi …","… ssi 
(E, +) est un groupe abelien
Pour tout x in E 1•x = x
• est associative
• est distributive sur +"
"(G, *) est un groupe ssi …","ssi : (G, *) est un monoïde et tout element de G est inversible

Si * est commutative on dit que le groupe est abelien"
"(K, +, x) est un corps ssi …","… ssi :
(K, +, x) est un anneau
(K*, x) est un groupe

Corps commutatif si (K*, x) est un groupe abelien"
"(M, *) est un monoïde ssi …","… ssi :
*est une LCI associative admettant un element neutre"
"A, B in Mn(K) on dit que A et B sont equivalentes ssi …","… ssi existe (P, Q) in GLn(K)^2, A = Q^{-1} B P
A est equivalente a (Irn(A) | 0 // 0 | 0)"
Calcul dans un anneau A,"- Formule de Newton pour x, y in A qui commutent
- Factorisation de Bernoulli pour x, y in A qui commutent"
Consequence u in L(E) admet un polynôme P dont 0 n’est pas racine,"u est inversible et en posant P = a + X • Q
u^{-1} = - Q(u) / a"
Definition relation binaire sur E,"R in P(E x E)
On dit que x est en relation avec y si (x, y) in R et on note xRy."
Définition anneau intègre ,"A tq pt x, y in A x • y = 0 ==> x = 0 ou y = 0"
Définition de morphisme,"Application f de (G, •) dans (G’, •) deux groupes tq
Pt x, y in G f(x • y) = f(x) • f(y)"
R est une relation d’équivalence ssi …,"… ssi :
R est reflexive : pour tout x in E xRx
R est symétrique : pour tout (x, y) in E^2 xRy => yRx
R est transitive : pour tout (x, y, z) in E^3 xRy et yRz => xRz"
Rang d’une matrice diagonale par bloc,Somme des rangs des matrices de la diagonale
Trace d’un projecteur P,tr(p) = rg(p)
